Time,AM or PM,CPU,%user,%nice,%system,%iowait,%steal,%idle
10:55:59,AM,all,34.77,0,65.17,0,0,0.06
10:56:00,AM,all,29.46,0,69.98,0,0,0.56
10:56:01,AM,all,15.2,0,84.43,0,0,0.38
10:56:02,AM,all,22.67,0,77.27,0,0,0.06
10:56:03,AM,all,30.89,0,69.04,0,0,0.06
10:56:04,AM,all,29.07,0,69.93,0,0,1
10:56:05,AM,all,25.11,0,73.33,0,0,1.56
10:56:06,AM,all,23.33,0,76.36,0,0,0.31
10:56:07,AM,all,21.35,0,78.27,0,0,0.38
10:56:08,AM,all,17.02,0,82.79,0,0,0.19
10:56:09,AM,all,19.94,0,79.5,0,0,0.56
10:56:10,AM,all,26.24,0,72.64,0,0,1.13
10:56:11,AM,all,29.82,0,70.06,0,0,0.12
10:56:12,AM,all,32.58,0,67.36,0,0,0.06
10:56:13,AM,all,31.06,0,68.44,0,0,0.5
10:56:14,AM,all,23.08,0,75.67,0,0,1.25
10:56:15,AM,all,31.56,0,68.26,0,0,0.19
10:56:16,AM,all,33.56,0,66,0,0,0.44
10:56:17,AM,all,36.09,0,63.6,0,0,0.31
10:56:18,AM,all,33.4,0,66.17,0,0,0.44
10:56:19,AM,all,28.42,0,71.33,0,0,0.25
10:56:20,AM,all,19.16,0,80.15,0,0,0.69
10:56:21,AM,all,23.17,0,75.7,0,0,1.12
10:56:22,AM,all,24.61,0,75.02,0,0,0.37
10:56:23,AM,all,31.65,0,68.16,0,0,0.19
10:56:24,AM,all,33.38,0,66.5,0,0,0.13
10:56:25,AM,all,27.43,0,71.63,0,0,0.94
10:56:26,AM,all,25.89,0,73.8,0,0,0.31
10:56:27,AM,all,31.69,0,68.06,0,0,0.25
10:56:28,AM,all,33.67,0,66.21,0,0,0.12
10:56:29,AM,all,28.87,0,70.07,0,0,1.06
10:56:30,AM,all,23.48,0,75.45,0,0,1.06
10:56:31,AM,all,26.63,0,72.43,0,0,0.94
10:56:32,AM,all,26.68,0,72.82,0,0,0.5
10:56:33,AM,all,19.4,0,80.16,0,0,0.44
10:56:34,AM,all,30.36,0,69.33,0,0,0.31
10:56:35,AM,all,23.09,0,76.6,0,0,0.31
10:56:36,AM,all,23.39,0,75.98,0,0,0.62
10:56:37,AM,all,33.52,0,66.17,0,0,0.31
10:56:38,AM,all,33.94,0,65.44,0,0,0.62
10:56:39,AM,all,22.63,0,76.68,0,0,0.69
10:56:40,AM,all,24.22,0,75.53,0,0,0.25
10:56:41,AM,all,34.81,0,64.94,0,0,0.25
10:56:42,AM,all,24.3,0,75.33,0,0,0.38
10:56:43,AM,all,27.67,0,72.02,0,0,0.31
10:56:44,AM,all,27.23,0,72.52,0,0,0.25
10:56:45,AM,all,22.08,0,77.42,0,0,0.5
10:56:46,AM,all,33.56,0,66.38,0,0,0.06
10:56:47,AM,all,23.94,0,75.56,0,0,0.5
10:56:48,AM,all,26.11,0,73.45,0,0,0.44
10:56:49,AM,all,34.06,0,65.56,0,0,0.38
10:56:50,AM,all,30.08,0,69.42,0,0,0.5
10:56:51,AM,all,32,0,67.13,0,0,0.88
10:56:52,AM,all,27.67,0,71.64,0,0,0.69
10:56:53,AM,all,21.71,0,77.04,0,0,1.25
10:56:54,AM,all,23.61,0,75.27,0,0,1.12
10:56:55,AM,all,25.58,0,73.79,0,0,0.63
10:56:56,AM,all,27.14,0,71.8,0,0,1.06
10:56:57,AM,all,25.83,0,72.85,0,0,1.32
10:56:58,AM,all,31.56,0,68.31,0,0,0.12
10:56:59,AM,all,36.26,0,63.74,0,0,0
10:57:00,AM,all,34.27,0,65.23,0,0,0.5
10:57:01,AM,all,26.27,0,72.36,0,0,1.38
10:57:02,AM,all,31.62,0,68.07,0,0,0.31
10:57:03,AM,all,24.95,0,74.73,0,0,0.31
10:57:04,AM,all,28.4,0,70.85,0,0,0.75
10:57:05,AM,all,25.39,0,73.73,0,0,0.88
10:57:06,AM,all,20.62,0,79.19,0,0,0.19
10:57:07,AM,all,21.38,0,78.44,0,0,0.19
10:57:08,AM,all,25.72,0,73.53,0,0,0.75
10:57:09,AM,all,28.71,0,70.11,0,0,1.19
10:57:10,AM,all,22.23,0,77.33,0,0,0.44
10:57:11,AM,all,22,0,77,0,0,1.01
10:57:12,AM,all,23.17,0,75.58,0,0,1.25
10:57:13,AM,all,25.3,0,74.51,0,0,0.19
10:57:14,AM,all,33.95,0,66.05,0,0,0
10:57:15,AM,all,26.91,0,72.03,0,0,1.06
10:57:16,AM,all,26.03,0,73.53,0,0,0.44
10:57:17,AM,all,31.86,0,67.9,0,0,0.25
10:57:18,AM,all,25.34,0,74.22,0,0,0.44
10:57:19,AM,all,27.78,0,71.65,0,0,0.56
