11:28:38 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:31:51 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:31:52 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:31:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:54 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:31:55 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:31:57 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:58 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:31:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:00 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:32:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:04 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:32:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:07 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:09 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:10 AM     all      0.12      0.00      0.06      0.00      0.00     99.81
11:32:11 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:32:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:13 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:32:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:15 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:16 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:17 AM     all      0.00      0.00      0.19      0.25      0.00     99.56
11:32:18 AM     all      0.00      0.00      0.06      0.12      0.00     99.81
11:32:19 AM     all      0.06      0.00      0.00      0.06      0.00     99.88
11:32:20 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:21 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:22 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:23 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:25 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:26 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:32:27 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:28 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:29 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:32:30 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:31 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:32:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:35 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:37 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:38 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:41 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:42 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:43 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:44 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:46 AM     all      0.00      0.00      0.00      0.06      0.00     99.94
11:32:47 AM     all      0.00      0.00      0.00      0.12      0.00     99.88
11:32:48 AM     all      0.00      0.00      0.37      0.00      0.00     99.63
11:32:49 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:32:50 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:32:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:52 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:55 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:56 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:32:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:32:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:00 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
11:33:01 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:02 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:06 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:07 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:09 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:10 AM     all      0.06      0.00      0.25      0.00      0.00     99.69
11:33:11 AM     all      0.12      0.00      0.00      0.00      0.00     99.88
11:33:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:13 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:14 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:16 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:33:17 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:18 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:19 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:21 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:22 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:23 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:24 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:25 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:26 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:28 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:29 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:30 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:31 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:33:32 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:33:33 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:33:34 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:33:35 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:36 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:33:37 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:38 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:33:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:40 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:41 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:33:42 AM     all      4.51      0.00      0.88      0.00      0.00     94.62
11:33:43 AM     all     56.38      0.00      7.82      0.00      0.00     35.79
11:33:44 AM     all     56.98      0.00      7.17      0.00      0.00     35.85
11:33:45 AM     all     56.19      0.00      8.17      0.00      0.00     35.64
11:33:46 AM     all     56.92      0.00      7.11      0.00      0.00     35.97
11:33:47 AM     all     56.62      0.00      7.75      0.00      0.00     35.62
11:33:48 AM     all     50.85      0.00      7.11      0.00      0.00     42.04
11:33:49 AM     all     19.26      0.00      2.88      0.00      0.00     77.86
11:33:50 AM     all      0.06      0.00      0.38      0.06      0.00     99.50
11:33:51 AM     all      0.06      0.00      0.31      0.00      0.00     99.63
11:33:52 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
11:33:53 AM     all      0.00      0.00      0.19      0.00      0.00     99.81
11:33:54 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:33:55 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:33:56 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:33:57 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:33:58 AM     all      0.00      0.00      0.06      0.06      0.00     99.88
11:33:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:00 AM     all      0.06      0.00      0.12      0.00      0.00     99.81
11:34:01 AM     all      0.12      0.00      0.06      0.00      0.00     99.81
11:34:02 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:03 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:04 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:05 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:06 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:07 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:08 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:09 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:10 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:34:11 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:12 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:13 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:34:14 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:15 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:16 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:34:17 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:18 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
11:34:19 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:20 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:21 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:34:22 AM     all      0.00      0.00      0.06      0.12      0.00     99.81
11:34:23 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:24 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:25 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:26 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:27 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:28 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:29 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:34:30 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:31 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:34:32 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:33 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:34 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:35 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:36 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:37 AM     all      0.06      0.00      0.00      0.00      0.00     99.94
11:34:38 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:39 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:40 AM     all      0.00      0.00      0.37      0.00      0.00     99.63
11:34:41 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:42 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:43 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:44 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:45 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:46 AM     all      0.00      0.00      0.12      0.00      0.00     99.88
11:34:47 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:48 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:49 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:50 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:51 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:52 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:53 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:54 AM     all      0.06      0.00      0.06      0.00      0.00     99.88
11:34:55 AM     all      0.00      0.00      0.06      0.00      0.00     99.94
11:34:56 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:57 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:58 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:34:59 AM     all      0.00      0.00      0.00      0.00      0.00    100.00
11:35:00 AM     all      0.00      0.00      0.25      0.00      0.00     99.75
